№,P,#,Инфинитив,3 л. настоящего вр.,3 л. прошедшего однократного вр.,Вопрос,Перевод
1,34,1,abejóti,abejója,abejójo,kuo? / dėl ko?,сомневаться
2,,,absorbuoti,absorbúoja,absorbãvo,,"абсорбировать, поглощать"
3,,,abstrahuoti,abstrahúoja,abstrahãvo,,абстрагировать
4,,,abuojėti,abuojėja,abuojėjo,,"тупеть, отупеть"
5,,,adaptuoti,adaptúoja,adaptãvo,,адаптировать
6,,,adaptuotis,adaptúojasi,adaptãvosi,,адаптироваться
7,,,adinėti,adinėja,adinėjo,,"распускать (вязание), распарывать"
8,,,administruoti,administrúoja,administrãvo,,администрировать
9,,,adresuoti,adresúoja,adresãvo,,адресовать
10,,,adyti,ãdo,ãdė,,штопать
11,,,aidėti,áidi,aidė́jo,,"звучать, отдаваться эхом"
12,,,aikčioti,áikčioja,áikčiojo,,"ахать, вскрикивать"
13,,,aiškėti,aiškė́ja,aiškė́jo,,"выясняться, становиться ясным"
14,35,2,áiškinti,áiškina,áiškino,ką? / apie ką?,"объяснять, разъяснять"
15,,,aiškintis,áiškinasi,áiškinosi,,"выяснять, разбираться"
16,,,akcentuoti,akcentúoja,akcentãvo,,"акцентировать, подчеркивать"
17,,,akėti,akė́ja,akė́jo,,бороновать
18,,,akinti,ãkina,ãkino,,"слепить, ослеплять (временно)"
19,,,akti,añka,ãko,,слепнуть
20,,,aktyvėti,aktyvė́ja,aktyvė́jo,,активизироваться
21,,,aktyvinti,aktỹvina,aktỹvino,,активизировать
22,,,aktyvuoti,aktyvuoja,aktyvavo,,активировать
23,,,alkti,álksta,al̃ko,,голодать
24,,,alpti,al̃psta,al̃po,,"падать в обморок, терять сознание"
25,,,alsinti,alsìna,alsìno,,"душить, вызывать одышку"
26,,,amputuoti,amputuoja,amputãvo,,ампутировать
27,,,amsėti,ámsi,amsė́jo,,"тявкать, поскуливать"
28,,,amžinti,amžinà,ámžino,,увековечивать
29,,,analizuoti,analizúoja,analizãvo,,анализировать
30,,,aneksuoti,aneksúoja,aneksãvo,,аннексировать
31,,,antspauduoti,antspaudúoja,antspaudãvo,,"штамповать, ставить печать"
32,,,anuliuoti,anuliúoja,anuliãvo,,"аннулировать, отменять"
33,,,apakinti,apãkina,apãkino,,ослеплять (навсегда)
34,,,apakti,apañka,apãko,,ослепнуть (навсегда)
35,,,apalpti,apal̃psta,apal̃po,,"упасть в обморок, потерять сознание"
36,,,apauti,apaũna,àpavė,,обувать
37,,,apbėgti,apbėga,apbėgo,,обегать
38,,,apdengti,apdeñgia,àpdengė,,"покрывать, накрывать"
39,,,apdėti,àpdeda,apdė́jo,,"обложить, обложить (чем-либо)"
40,,,apdoroti,apdorója,apdorójo,,обрабатывать
41,,,apdovanoti,apdovanója,apdovanójo,,награждать
42,,,apdrausti,apdraũdžia,àpdraudė,,страховать
43,,,apduiti,apdūja,apdùjo,,"оцепенеть, онеметь"
44,,,apdumti,apdumia,apdū́mė,,"запылиться, помутнеть"
45,,,apeiti,apeĩna,apė̃jo,,обойти
46,,,apeliuoti,apeliúoja,apeliãvo,,апеллировать
47,,,apgailestauti,apgailestáuja,apgailestãvo,,сожалеть
48,,,apgalvoti,apgalvója,apgalvójo,,обдумывать
49,,,apgaubti,apgaũbia,àpgaubė,,"окутывать, обволакивать"
50,,,apgaudinėti,apgaudinė́ja,apgaudinė́jo,,обманывать
51,,,apgauti,apgáuna,apgãvo,,"обмануть, надуть"
52,,,apgerti,apgeria,apgėrė,,"обпиться, напиться (допьяна)"
53,,,apginkluoti,apginklúoja,apginklãvo,,вооружить
54,,,apginti,àpgina,apgýnė,,"защитить, отстоять"
